序号,股票代码,股票简称,每股收益,营业收入-营业收入,营业收入-去年同期,营业收入-同比增长,营业收入-季度环比增长,净利润-净利润,净利润-去年同期,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,所处行业,公告日期
3,002378,章源钨业,0.24,5201710982.7,3673251745.88,41.61052229906,-10.524456420216,290270297.27,172028563.8,68.733779355077,33.4970556103,1.94,13.04,小金属,2026-03-14
5,600895,张江高科,0.61,4189190251.17,1983301113.34,111.223107928132,628.842051541625,985344146.37,982421581.11,0.297485857008,49.0421747155,,7.02,房地产开发,2026-03-13
7,600639,浦东金桥,0.9646,5964911229.67,2724786282.83,118.912993920197,903.90736925886,1073513488.46,1001950138.86,7.142406275967,350.7191641861,13.5228,7.3,房地产开发,2026-03-13
10,002938,鹏鼎控股,1.61,39147009400.0,35140384500.0,11.401767388174,17.284448340595,3737843500.0,3620351400.0,3.245323092118,13.260191915,14.73,11.42,元件,2026-03-13
15,300685,艾德生物,0.9,1197670400.0,1108948700.0,8.000523378584,15.980036855237,357886600.0,254863400.0,40.422908899434,29.8251468536,5.2,18.47,医疗器械,2026-03-12
17,002959,小熊电器,2.5493,5235153500.0,4758270000.0,10.022203447892,33.539484291006,400509200.0,287787400.0,39.168427804692,276.9598488026,19.6079,13.59,小家电,2026-03-12
20,002256,兆新股份,0.02,496574200.0,346292500.0,43.397330291589,53.100225409093,42538600.0,-143366100.0,129.671310023778,1950.3781291286,0.6,3.71,电力,2026-03-11
22,002393,力生制药,1.62,1392663934.63,1336154449.87,4.22926292432,39.746962948671,418365973.76,184528445.53,126.721670232671,71.2142526336,17.98,8.56,化学制药,2026-03-10
28,600037,歌华有线,0.0247,2219754557.95,2314138574.8,-4.078581026988,80.7440107475,34313119.27,-69520903.66,149.356549560708,185.6593381429,9.13,0.27,电视广播Ⅱ,2026-03-06
30,300515,三德科技,0.9131,659856400.0,576581800.0,14.44280759469,27.00839830616,183315700.0,143236000.0,27.981582842302,26.7353857485,4.52,21.23,通用设备,2026-03-06
33,301632,广东建科,0.36,1251374000.0,1197393700.0,4.508149658713,138.082995278774,113133500.0,107130900.0,5.603051967266,636.0836729833,6.6,4.73,专业服务,2026-03-05
37,603163,圣晖集成,1.54,2988504733.21,2007697317.98,48.852354707373,6.157278861404,154345123.74,114402314.36,34.914336832652,76.8946690648,11.68,13.65,专业工程,2026-03-03
41,001299,美能能源,0.46,725692900.0,665208500.0,9.092547674902,65.822186846165,101353300.0,87298200.0,16.100102865809,138.0567677087,5.08,8.17,燃气Ⅱ,2026-03-03
42,301499,维科精密,0.38,962827000.0,843167700.0,14.19163708477,9.286878596735,52938200.0,45303300.0,16.852856193699,50.9020764606,9.38,4.14,汽车零部件,2026-03-02
